,Country,Agriculture type,Y2009,Y2019
136,benin,oilseeds nes,133.0,127.0
137,benin,okra,43173.0,60341.0
138,benin,"onions, dry",36019.0,42074.0
139,benin,oranges,13014.0,15451.0
140,benin,pepper (piper spp.),150.0,178.0
141,benin,pineapples,222222.0,355854.0
142,benin,potatoes,305.0,130.0
143,benin,pulses nes,45171.0,54012.0
144,benin,"rice, paddy",150604.0,406000.0
145,benin,"rice, paddy (rice milled equivalent)",100453.0,270802.0
146,benin,seed cotton,166142.0,791864.0
147,benin,sesame seed,9000.0,10000.0
148,benin,sorghum,123959.0,200000.0
149,benin,soybeans,57307.0,230000.0
150,benin,sugar cane,12111.0,10000.0
151,benin,sweet potatoes,63695.0,68323.0
152,benin,taro (cocoyam),2577.0,1050.0
153,benin,"tobacco, unmanufactured",93.0,33.0
154,benin,tomatoes,159033.0,274700.0
155,benin,"vegetables, fresh nes",19992.0,239251.0
156,benin,yams,2373799.0,3088498.0
157,benin,"cereals, total",1508142.0,2134806.0
158,benin,"citrus fruit, total",13014.0,15451.0
159,benin,fibre crops primary,0.0,0.0
160,benin,fruit primary,380295.0,565153.0
161,benin,oilcrops,833472.0,1996911.0
162,benin,"oilcrops, cake equivalent",167779.0,542606.0
163,benin,"oilcrops, oil equivalent",171428.0,351629.0
164,benin,"pulses, total",133325.0,180182.0
165,benin,"roots and tubers, total",6228294.0,7052778.0
166,benin,sugar crops primary,12111.0,10000.0
167,benin,"treenuts, total",118044.0,205325.0
168,benin,vegetables primary,284080.0,672552.0
169,botswana,cereals nes,2941.0,4440.0
170,botswana,"fruit, fresh nes",5500.0,5051.0
171,botswana,"groundnuts, with shell",1539.0,88.0
172,botswana,maize,20093.0,7278.0
173,botswana,millet,2767.0,902.0
174,botswana,"onions, dry",1335.0,9007.0
175,botswana,oranges,500.0,4005.0
176,botswana,pulses nes,4313.0,2253.0
177,botswana,roots and tubers nes,91471.0,102367.0
178,botswana,seed cotton,1356.0,969.0
179,botswana,sorghum,29577.0,35961.0
180,botswana,sunflower seed,1764.0,58.0
181,botswana,"vegetables, fresh nes",25300.0,50141.0
182,botswana,wheat,0.0,377.0
183,botswana,"cereals, total",55378.0,48958.0
184,botswana,"citrus fruit, total",500.0,4005.0
185,botswana,fibre crops primary,0.0,0.0
186,botswana,fruit primary,6000.0,25874.0
187,botswana,oilcrops,4659.0,1115.0
188,botswana,"oilcrops, cake equivalent",1850.0,372.0
189,botswana,"oilcrops, oil equivalent",1322.0,148.0
190,botswana,"pulses, total",4313.0,2253.0
191,botswana,"roots and tubers, total",91471.0,107167.0
192,botswana,vegetables primary,26635.0,87050.0
193,burkina faso,"almonds, with shell",1450.0,2077.0
194,burkina faso,bambara beans,44712.0,58435.0
195,burkina faso,"beans, green",7909.0,10559.0
196,burkina faso,"cashew nuts, with shell",6700.0,136558.0
197,burkina faso,cassava,4300.0,4046.0
198,burkina faso,"chillies and peppers, green",7996.0,8921.0
199,burkina faso,"cow peas, dry",453629.0,652454.0
200,burkina faso,fonio,26101.0,10238.0
201,burkina faso,"fruit, fresh nes",69679.0,86998.0
202,burkina faso,"fruit, tropical fresh nes",8983.0,10302.0
203,burkina faso,grapefruit (inc. pomelos),232.0,267.0
204,burkina faso,"groundnuts, with shell",330624.0,396129.0
205,burkina faso,karite nuts (sheanuts),62830.0,140036.0
206,burkina faso,lemons and limes,274.0,320.0
207,burkina faso,maize,894558.0,1710898.0
208,burkina faso,"mangoes, mangosteens, guavas",11093.0,16375.0
209,burkina faso,millet,970927.0,970176.0
210,burkina faso,okra,25596.0,23100.0
211,burkina faso,"onions, shallots, green",18652.0,18061.0
212,burkina faso,oranges,566.0,619.0
213,burkina faso,potatoes,81498.0,69379.0
214,burkina faso,pulses nes,19836.0,15436.0
215,burkina faso,"rice, paddy",213584.0,376527.0
216,burkina faso,"rice, paddy (rice milled equivalent)",142461.0,251144.0
217,burkina faso,seed cotton,483865.0,724232.0
218,burkina faso,sesame seed,56252.0,374703.0
219,burkina faso,sorghum,1521468.0,1871791.0
220,burkina faso,soybeans,15686.0,51708.0
221,burkina faso,spices nes,5865.0,6383.0
222,burkina faso,sugar cane,455000.0,490770.0
223,burkina faso,sweet potatoes,81499.0,66383.0
224,burkina faso,"tangerines, mandarins, clementines, satsumas",291.0,332.0
225,burkina faso,"tobacco, unmanufactured",633.0,389.0
226,burkina faso,tomatoes,12694.0,19539.0
227,burkina faso,"vegetables, fresh nes",190774.0,238300.0
228,burkina faso,yams,80868.0,50152.0
229,burkina faso,"cereals, total",3626638.0,4939630.0
230,burkina faso,"citrus fruit, total",1363.0,1538.0
231,burkina faso,fibre crops primary,0.0,0.0
232,burkina faso,fruit primary,91118.0,115213.0
233,burkina faso,oilcrops,949257.0,1686808.0
234,burkina faso,"oilcrops, cake equivalent",322183.0,615173.0
235,burkina faso,"oilcrops, oil equivalent",190680.0,397280.0
236,burkina faso,"pulses, total",518177.0,726325.0
237,burkina faso,"roots and tubers, total",248165.0,189960.0
238,burkina faso,sugar crops primary,455000.0,490770.0
239,burkina faso,"treenuts, total",8150.0,138635.0
240,burkina faso,vegetables primary,263621.0,318480.0
241,burundi,bananas,1845824.0,1179759.0
242,burundi,"beans, dry",207272.0,619151.0
243,burundi,cassava,586143.0,2408958.0
244,burundi,castor oil seed,0.0,0.0
245,burundi,cereals nes,10846.0,14376.0
246,burundi,"coffee, green",20517.0,14059.0
247,burundi,"fruit, fresh nes",135000.0,138221.0
248,burundi,"groundnuts, with shell",8000.0,9813.0
249,burundi,maize,120379.0,270813.0
250,burundi,millet,11200.0,9827.0
251,burundi,oil palm fruit,90000.0,88574.0
252,burundi,"peas, dry",32698.0,12734.0
253,burundi,pigeon peas,3100.0,2951.0
254,burundi,potatoes,30482.0,376441.0
255,burundi,"rice, paddy",78432.0,88510.0
256,burundi,"rice, paddy (rice milled equivalent)",52314.0,59036.0
257,burundi,seed cotton,2547.0,1749.0
258,burundi,sorghum,81176.0,8851.0
259,burundi,soybeans,3200.0,2589.0
260,burundi,sugar cane,121767.0,167242.0
261,burundi,sweet potatoes,926319.0,1023458.0
262,burundi,taro (cocoyam),58569.0,217510.0
263,burundi,tea,31828.0,11383.0
264,burundi,"tobacco, unmanufactured",1209.0,347.0
265,burundi,"vegetables, fresh nes",440000.0,567541.0
266,burundi,wheat,8583.0,4894.0
267,burundi,yams,9900.0,6859.0
268,burundi,"cereals, total",310616.0,397271.0
269,burundi,fibre crops primary,0.0,0.0
270,burundi,fruit primary,1980824.0,2008082.0
271,burundi,oilcrops,103747.0,102725.0
272,burundi,"oilcrops, cake equivalent",9194.0,9100.0
273,burundi,"oilcrops, oil equivalent",22817.0,22860.0
274,burundi,"pulses, total",243070.0,634836.0
275,burundi,"roots and tubers, total",1611413.0,4033226.0
276,burundi,sugar crops primary,121767.0,167242.0
277,burundi,vegetables primary,440000.0,567541.0
278,cabo verde,bananas,7000.0,9015.0
279,cabo verde,"beans, green",105.0,0.0
280,cabo verde,cabbages and other brassicas,3025.0,5289.0
281,cabo verde,carrots and turnips,5135.0,2279.0
282,cabo verde,cassava,3950.0,5124.0
283,cabo verde,castor oil seed,71.0,71.0
284,cabo verde,cauliflowers and broccoli,120.0,69.0
285,cabo verde,"chillies and peppers, dry",1445.0,1618.0
286,cabo verde,coconuts,5200.0,5263.0
287,cabo verde,cucumbers and gherkins,2246.0,1411.0
288,cabo verde,"fruit, fresh nes",3154.0,527.0
289,cabo verde,garlic,75.0,59.0
290,cabo verde,lettuce and chicory,720.0,658.0
291,cabo verde,maize,7383.0,640.0
